frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.20000378787517548,0.0,0.5999977588653564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.016666666666666666,0.20210720598697662,0.0,0.5987357497215271,0.12620462477207184,0.0,-0.07572232931852341,0.14717839026303384,7.5722503662109375,0.0,-4.5434465408325195,8.830734974394163
3,0.03333333333333333,0.20421060919761658,0.0,0.597473680973053,0.12620462477207184,0.0,-0.07572411745786667,0.14717930938017687,2.6822088329936378e-05,0.0,-0.00010728835331974551,0.0001105903022506566
4,0.05,0.20631402730941772,0.0,0.5962116122245789,0.12620507180690765,0.0,-0.07572232931852341,0.14717877626129386,2.6822088329936378e-05,0.0,0.00021457670663949102,0.00021624658744304366
5,0.06666666666666667,0.20841744542121887,0.0,0.5949496030807495,0.12620551884174347,0.0,-0.07572232931852341,0.14717915593072597,5.3644176659872755e-05,0.0,-0.00010728835331974551,0.00011995202448769249
6,0.08333333333333333,0.2105208784341812,0.0,0.5936875343322754,0.12620417773723602,0.0,-0.07572411745786667,0.147178923383315,-0.00018775461649056524,0.0,-0.00010728835331974551,0.0002162465835924984
7,0.1,0.21262425184249878,0.0,0.5924254655838013,0.1262037307024002,0.0,-0.07572411745786667,0.147178543713283,5.3644176659872755e-05,0.0,0.0,5.364417615863996e-05
8,0.11666666666666667,0.21472766995429993,0.0,0.5911633968353271,0.12620507180690765,0.0,-0.07572232931852341,0.14717877626129386,8.046626317081973e-05,0.0,0.00021457670663949102,0.00022916802028025949
9,0.13333333333333333,0.21683108806610107,0.0,0.5899013876914978,0.12620507180690765,0.0,-0.07572232931852341,0.14717877626129386,0.0,0.0,-0.00010728835331974551,0.00010728835231727992
10,0.15,0.21893450617790222,0.0,0.5886393189430237,0.12620551884174347,0.0,-0.07572232931852341,0.14717915593072597,5.3644176659872755e-05,0.0,0.00010728835331974551,0.00011995202448769249
11,0.16666666666666666,0.22103793919086456,0.0,0.5873773097991943,0.12620462477207184,0.0,-0.07572232931852341,0.14717839026303384,-0.00013411043619271368,0.0,-0.00010728835331974551,0.00017174516001672549
12,0.18333333333333332,0.22314132750034332,0.0,0.5861152410507202,0.1262032836675644,0.0,-0.07572590559720993,0.14717907841496314,-8.046626317081973e-05,0.0,-0.0003218650526832789,0.000331770898218766
13,0.2,0.22524471580982208,0.0,0.5848531126976013,0.12618674337863922,0.0,-0.07575451582670212,0.14717962102444557,-0.001984834438189864,0.0,-0.0033259389456361532,0.003873168985073977
14,0.21666666666666667,0.22734755277633667,0.0,0.5835900902748108,0.1261223703622818,0.0,-0.07586001604795456,0.1471787810071678,-0.006732344161719084,0.0,-0.011050700210034847,0.012939954693987765
15,0.23333333333333334,0.22944879531860352,0.0,0.5823244452476501,0.12599585950374603,0.0,-0.07606922835111618,0.14717840608265453,-0.012311338447034359,0.0,-0.020384786650538445,0.023814041390289822
16,0.25,0.23154741525650024,0.0,0.5810544490814209,0.12581346929073334,0.0,-0.07636963576078415,0.14717795364083097,-0.01716613583266735,0.0,-0.028216836974024773,0.03302826223246774
17,0.26666666666666666,0.233642578125,0.0,0.579778790473938,0.12559174001216888,0.0,-0.07673441618680954,0.14717831274686774,-0.020384786650538445,0.0,-0.03358125314116478,0.03928409434762628
18,0.2833333333333333,0.23573380708694458,0.0,0.5784966349601746,0.1253051906824112,0.0,-0.07720290869474411,0.1471790736690988,-0.027304885908961296,0.0,-0.0445246659219265,0.052230284429128936
19,0.3,0.23781941831111908,0.0,0.5772053599357605,0.12497260421514511,0.0,-0.07773935049772263,0.14717866236027322,-0.02979889325797558,0.0,-0.047957893460989,0.05646178873777522
20,0.31666666666666665,0.23989956080913544,0.0,0.5759053230285645,0.12464716285467148,0.0,-0.07825791090726852,0.1471774980336731,-0.029209254309535027,0.0,-0.046455856412649155,0.05487556032037824
21,0.3333333333333333,0.24197432398796082,0.0,0.5745967626571655,0.12432261556386948,0.0,-0.0787728950381279,0.14717772267348972,-0.029262898489832878,0.0,-0.046455856412649155,0.05490413294923048
22,0.35,0.24404364824295044,0.0,0.5732795596122742,0.1239466592669487,0.0,-0.07936476916074753,0.14717860066385025,-0.035324689000844955,0.0,-0.05546807870268822,0.0657612447477977
23,0.36666666666666664,0.2461058795452118,0.0,0.5719512701034546,0.12349962443113327,0.0,-0.08005677908658981,0.1471775961158887,-0.04087686166167259,0.0,-0.06308554857969284,0.07517116564548003
24,0.38333333333333336,0.24816030263900757,0.0,0.5706110000610352,0.12308388203382492,0.0,-0.08069335669279099,0.1471769664902063,-0.035834308713674545,0.0,-0.054824348539114,0.06549661775135823
25,0.4,0.25020867586135864,0.0,0.5692614912986755,0.122715525329113,0.0,-0.08125483244657516,0.14717828743545774,-0.03331303223967552,0.0,-0.05074739083647728,0.06070466016917205
26,0.4166666666666667,0.2522508203983307,0.0,0.5679025053977966,0.12220411747694016,0.0,-0.08202194422483444,0.14717827794367785,-0.05015730485320091,0.0,-0.07499455660581589,0.09022160817528635
