frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.0,0.0,0.00035197794204577804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05,0.0,0.0,0.02181171253323555,0.0,0.0,0.42919471859931946,0.42919472267825143,0.0,0.0,8.583894729614258,8.583894828528953
3,0.1,0.0,0.0,0.04327144846320152,0.0,0.0,0.42919468879699707,0.4291946879593674,0.0,0.0,-1.7881393432617188e-06,1.7881393432617188e-06
4,0.15,0.0,0.0,0.0647311806678772,0.0,0.0,0.4291945993900299,0.4291946011621451,0.0,0.0,-2.384185791015625e-06,2.384185791015625e-06
5,0.2,0.0,0.0,0.08619090914726257,0.0,0.0,0.42919471859931946,0.42919472267825143,0.0,0.0,5.364418029785156e-06,5.364418029785156e-06
6,0.25,0.0,0.0,0.10765065252780914,0.0,0.0,0.42919471859931946,0.42919472267825143,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
7,0.3,0.0,0.0,0.12911038100719452,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
8,0.35,0.0,0.0,0.1505701094865799,0.0,0.0,0.4291944205760956,0.42919442756764775,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
9,0.4,0.0,0.0,0.17202982306480408,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,8.940696716308594e-06,8.940696716308594e-06
10,0.45,0.0,0.0,0.19348956644535065,0.0,0.0,0.4291948676109314,0.4291948615537594,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
11,0.5,0.0,0.0,0.21494930982589722,0.0,0.0,0.42919471859931946,0.42919472267825143,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
12,0.55,0.0,0.0,0.2364090383052826,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
13,0.6,0.0,0.0,0.25786876678466797,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,0.0,0.0
14,0.65,0.0,0.0,0.27932849526405334,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,0.0,0.0
15,0.7,0.0,0.0,0.3007882237434387,0.0,0.0,0.4291948676109314,0.4291948615537594,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
16,0.75,0.0,0.0,0.3222479820251465,0.0,0.0,0.4291951656341553,0.42919517402348806,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
17,0.8,0.0,0.0,0.34370774030685425,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,-2.384185791015625e-05,2.384185791015625e-05
18,0.85,0.0,0.0,0.36516743898391724,0.0,0.0,0.4291945695877075,0.4291945664432512,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
19,0.9,0.0,0.0,0.386627197265625,0.04160695523023605,0.0,0.27898043394088745,0.2820659893440486,1.664278268814087,0.0,-6.008577346801758,6.23480735560736
20,0.95,0.00416069570928812,0.0,0.393065482378006,0.15201641619205475,0.0,-0.11963248252868652,0.19344488093248408,3.5842390060424805,0.0,-12.940221786499023,13.427438704131113
21,1.0,0.015201641246676445,0.0,0.37466394901275635,0.22081837058067322,0.0,-0.3680303692817688,0.4291935552542359,1.3760286569595337,0.0,-4.967951774597168,5.154997459636695
22,1.05,0.026242533698678017,0.0,0.3562624454498291,0.22081828117370605,0.0,-0.3680306673049927,0.42919376790791763,6.556510925292969e-06,0.0,-1.7881393432617188e-05,1.9045526157224725e-05
23,1.1,0.03728346899151802,0.0,0.3378608822822571,0.2208186537027359,0.0,-0.36803126335144043,0.42919446228655284,6.258487701416016e-06,0.0,-1.1920928955078125e-05,1.3463922736735961e-05
24,1.15,0.04832439869642258,0.0,0.31945931911468506,0.22081878781318665,0.0,-0.36803126335144043,0.42919453172435457,6.258487701416016e-06,0.0,0.0,6.258487701416016e-06
25,1.2,0.059365347027778625,0.0,0.30105775594711304,0.22081904113292694,0.0,-0.36803126335144043,0.42919466192020256,6.556510925292969e-06,0.0,0.0,6.556510925292969e-06
26,1.25,0.07040630280971527,0.0,0.282656192779541,0.22081926465034485,0.0,-0.36803215742111206,0.4291955429110693,7.450580596923828e-06,0.0,-3.5762786865234375e-05,3.65306457046606e-05
27,1.3,0.08144727349281311,0.0,0.26425454020500183,0.22081896662712097,0.0,-0.3680318593978882,0.4291951306249282,-1.4901161193847656e-05,0.0,2.9802322387695312e-05,3.332000937312528e-05
28,1.35,0.09248819947242737,0.0,0.2458530068397522,0.22081874310970306,0.0,-0.36803126335144043,0.4291945100250428,0.0,0.0,0.0,0.0
29,1.4,0.10352914780378342,0.0,0.2274514138698578,0.22081851959228516,0.0,-0.36803126335144043,0.4291943971886035,-1.341104507446289e-05,0.0,1.1920928955078125e-05,1.7943374184954608e-05
30,1.45,0.11457005143165588,0.0,0.20904988050460815,0.2208184450864792,0.0,-0.3680306673049927,0.42919385470530846,5.9604644775390625e-06,0.0,1.1920928955078125e-05,1.3328003749250112e-05
31,1.5,0.12561099231243134,0.0,0.19064834713935852,0.22081896662712097,0.0,-0.36803126335144043,0.4291946272013136,1.341104507446289e-05,0.0,-2.384185791015625e-05,2.7354895697065917e-05
32,1.55,0.13665194809436798,0.0,0.1722467541694641,0.22081881761550903,0.0,-0.36803141236305237,0.42919467059992433,-8.940696716308594e-06,0.0,5.9604644775390625e-06,1.0745380149674383e-05
33,1.6,0.14769287407398224,0.0,0.15384520590305328,0.22081881761550903,0.0,-0.36803126335144043,0.4291945490838033,5.9604644775390625e-06,0.0,-2.9802322387695312e-06,6.664001874625056e-06
34,1.65,0.15873382985591888,0.0,0.13544362783432007,0.22081896662712097,0.0,-0.36803171038627625,0.4291950091089374,0.0,0.0,-1.1920928955078125e-05,1.1920928955078125e-05
35,1.7,0.16977477073669434,0.0,0.11704203486442566,0.22081851959228516,0.0,-0.36803120374679565,0.42919434511023696,-1.4901161193847656e-05,0.0,2.384185791015625e-05,2.811545470969857e-05
36,1.75,0.1808156818151474,0.0,0.09864050894975662,0.22081851959228516,0.0,-0.36803096532821655,0.4291941367967075,5.9604644775390625e-06,0.0,-4.172325134277344e-06,7.275674114068569e-06
37,1.8,0.19185662269592285,0.0,0.080238938331604,0.22081881761550903,0.0,-0.36803141236305237,0.42919467059992433,5.9604644775390625e-06,0.0,-8.940696716308594e-06,1.0745380149674383e-05
38,1.85,0.2028975635766983,0.0,0.061837367713451385,0.2208191156387329,0.0,-0.3680318295955658,0.42919518704305515,1.1920928955078125e-05,0.0,-1.609325408935547e-05,2.0027515430940916e-05
39,1.9,0.21393853425979614,0.0,0.043435756117105484,0.22081896662712097,0.0,-0.36803168058395386,0.4291949917495073,-1.1920928955078125e-05,0.0,1.430511474609375e-05,1.8621086301581035e-05
40,1.95,0.2249794602394104,0.0,0.02503420040011406,0.22081851959228516,0.0,-0.36803123354911804,0.4291943798291487,-8.940696716308594e-06,0.0,7.152557373046875e-06,1.1449678368746367e-05
41,2.0,0.23602038621902466,0.0,0.006632633041590452,0.15020549297332764,0.0,-0.11309368908405304,0.18802093618571533,-2.824521064758301,0.0,10.197504043579102,10.581446454409502
42,2.05,0.24000000953674316,0.0,0.013724831864237785,0.03979623317718506,0.0,0.2855186462402344,0.28827875461409386,-3.0041098594665527,0.0,10.845741271972656,11.2541006032414
43,2.1,0.24000000953674316,0.0,0.03518449887633324,-1.4901161193847656e-07,0.0,0.42919301986694336,0.4291930214496577,-0.7959306240081787,0.0,2.873481512069702,2.9816776488734296
44,2.15,0.23999999463558197,0.0,0.05664413422346115,0.0,0.0,0.42919445037841797,0.4291944449271007,8.940696716308594e-06,0.0,6.377696990966797e-05,6.440060518839637e-05
45,2.2,0.24000000953674316,0.0,0.0781039446592331,0.0,0.0,0.4291951656341553,0.42919517402348806,-5.9604644775390625e-06,0.0,-6.556510925292969e-06,8.860867468904558e-06
46,2.25,0.23999999463558197,0.0,0.09956365078687668,-2.980232238769531e-07,0.0,0.42919471859931946,0.4291947226783549,-5.9604644775390625e-06,0.0,2.9802322387695312e-06,6.664001874625056e-06
47,2.3,0.23999997973442078,0.0,0.12102341651916504,1.4901161193847656e-07,0.0,0.42919600009918213,0.42919600727501145,1.7881393432617188e-05,0.0,3.8743019104003906e-05,4.267043192170964e-05
48,2.35,0.24000000953674316,0.0,0.14248324930667877,2.980232238769531e-07,0.0,0.4291944205760956,0.4291944275677512,-2.9802322387695312e-06,0.0,-7.62939453125e-05,7.635213078587749e-05
49,2.4,0.24000000953674316,0.0,0.1639428585767746,0.0,0.0,0.42919203639030457,0.4291920319564147,-5.9604644775390625e-06,0.0,-5.066394805908203e-05,5.101335873789695e-05
50,2.45,0.24000000953674316,0.0,0.18540245294570923,0.0,0.0,0.42919203639030457,0.4291920319564147,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
