frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.17999039590358734,0.0,0.3400076925754547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05,0.17769744992256165,0.0,0.34184202551841736,-0.04585862159729004,0.0,0.03668695688247681,0.05872772813783021,-0.9171664714813232,0.0,0.7337450981140137,1.1745536199796396
3,0.1,0.17540453374385834,0.0,0.3436763882637024,-0.04585832357406616,0.0,0.03668695688247681,0.058727494227277764,5.9604644775390625e-06,0.0,-5.9604644775390625e-06,8.429369702178807e-06
4,0.15,0.17311161756515503,0.0,0.34551072120666504,-0.04585832357406616,0.0,0.03668695688247681,0.058727494227277764,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
5,0.2,0.17081870138645172,0.0,0.3473450839519501,-0.04585877060890198,0.0,0.03668665885925293,0.0587276587576788,-1.7881393432617188e-05,0.0,-1.7881393432617188e-05,2.528810910653642e-05
6,0.25,0.16852574050426483,0.0,0.34917938709259033,-0.04586443305015564,0.0,0.03667980432510376,0.058727797517899666,-0.00021755695343017578,0.0,-0.00026226043701171875,0.00034075147073401956
7,0.3,0.16623225808143616,0.0,0.35101306438446045,-0.04594042897224426,0.0,0.03658413887023926,0.058727524952869585,-0.0029355287551879883,0.0,-0.003701448440551758,0.004724198394335171
8,0.35,0.1639316976070404,0.0,0.35283780097961426,-0.04616767168045044,0.0,0.036295950412750244,0.058726910437978834,-0.007674098014831543,0.0,-0.009739398956298828,0.012399502999343242
9,0.4,0.1616154909133911,0.0,0.3546426594257355,-0.04653036594390869,0.0,0.03582894802093506,0.05872638611293173,-0.01137852668762207,0.0,-0.014704465866088867,0.01859279925280817
10,0.45,0.15927866101264954,0.0,0.35642069578170776,-0.046970099210739136,0.0,0.035249292850494385,0.05872565760060587,-0.013464689254760742,0.0,-0.017821788787841797,0.022336383196821116
11,0.5,0.1569184809923172,0.0,0.3581675887107849,-0.04748135805130005,0.0,0.03455638885498047,0.058724980621187015,-0.015780329704284668,0.0,-0.02148747444152832,0.026659526507482077
12,0.55,0.15453052520751953,0.0,0.3598763346672058,-0.04804059863090515,0.0,0.03377377986907959,0.058724502865274815,-0.016814470291137695,0.0,-0.023674964904785156,0.029038429745719827
13,0.6,0.15211442112922668,0.0,0.36154496669769287,-0.04861891269683838,0.0,0.032935142517089844,0.058724120261264404,-0.017502903938293457,0.0,-0.025522708892822266,0.030947702977432632
14,0.65,0.1496686339378357,0.0,0.3631698489189148,-0.04923433065414429,0.0,0.03200650215148926,0.058723381808651685,-0.018680095672607422,0.0,-0.028395652770996094,0.033989102484204704
15,0.7,0.14719098806381226,0.0,0.3647456169128418,-0.04987269639968872,0.0,0.031001567840576172,0.05872293377650011,-0.019162893295288086,0.0,-0.030374526977539062,0.035914180895815793
16,0.75,0.14468136429786682,0.0,0.3662700057029724,-0.050514787435531616,0.0,0.02994328737258911,0.058722604193144484,-0.019288063049316406,0.0,-0.03205537796020508,0.03741091637438125
17,0.8,0.1421395093202591,0.0,0.3677399456501007,-0.05119144916534424,0.0,0.028767883777618408,0.058720998377099744,-0.020620226860046387,0.0,-0.03612637519836426,0.04159697937793065
18,0.85,0.1395622193813324,0.0,0.36914679408073425,-0.05185917019844055,0.0,0.027547478675842285,0.058721691262371756,-0.019621849060058594,0.0,-0.03619790077209473,0.04117408085678495
19,0.9,0.13695359230041504,0.0,0.37049469351768494,-0.05253598093986511,0.0,0.026229023933410645,0.05871959721716378,-0.020805001258850098,0.0,-0.04094839096069336,0.04593058706786913
20,0.95,0.1343086212873459,0.0,0.3717696964740753,-0.05323469638824463,0.0,0.024779140949249268,0.0587191511387139,-0.020679831504821777,0.0,-0.04341602325439453,0.04808956708591067
21,1.0,0.13163012266159058,0.0,0.37297260761260986,-0.0538848340511322,0.0,0.023331642150878906,0.058719169477561416,-0.019299983978271484,0.0,-0.04348158836364746,0.04757244891825068
22,1.05,0.12892013788223267,0.0,0.3741028606891632,-0.05455225706100464,0.0,0.021718144416809082,0.058716493927864676,-0.02039968967437744,0.0,-0.050008296966552734,0.05400904646945688
23,1.1,0.1261748969554901,0.0,0.37514442205429077,-0.05521923303604126,0.0,0.01996070146560669,0.058716209166462495,-0.019627809524536133,0.0,-0.05255937576293945,0.05610471446961741
24,1.15,0.12339821457862854,0.0,0.3760989308357239,-0.05581997334957123,0.0,0.018212199211120605,0.05871587136676813,-0.01774132251739502,0.0,-0.05252957344055176,0.05544466225819071
25,1.2,0.12059289962053299,0.0,0.37696564197540283,-0.05639508366584778,0.0,0.016337037086486816,0.058713747372585987,-0.017277896404266357,0.0,-0.057446956634521484,0.05998898582682184
