frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.0,0.0,8.812901069177315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05,0.0,0.0,0.010730045847594738,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,4.256767272949219,4.256767270645125
3,0.1,0.0,0.0,0.021371964365243912,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,0.0,0.0
4,0.15,0.0,0.0,0.03201388195157051,0.0,0.0,0.2128383219242096,0.21283832397568048,0.0,0.0,-1.4901161193847656e-06,1.4901161193847656e-06
5,0.2,0.0,0.0,0.04265579581260681,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,2.086162567138672e-06,2.086162567138672e-06
6,0.25,0.0,0.0,0.05329771712422371,0.0,0.0,0.21283842623233795,0.21283842899312216,0.0,0.0,1.4901161193847656e-06,1.4901161193847656e-06
7,0.3,0.0,0.0,0.0639396384358406,0.0,0.0,0.21283838152885437,0.21283838523586107,0.0,0.0,-1.4901161193847656e-06,1.4901161193847656e-06
8,0.35,0.0,0.0,0.0745815560221672,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,-5.960464477539062e-07,5.960464477539062e-07
9,0.4,0.0,0.0,0.0852234736084938,0.0,0.0,0.212838277220726,0.2128382802183978,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
10,0.45,0.0,0.0,0.09586538374423981,0.0,0.0,0.212838277220726,0.2128382802183978,0.0,0.0,1.4901161193847656e-06,1.4901161193847656e-06
11,0.5,0.0,0.0,0.1065073013305664,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,1.4901161193847656e-06,1.4901161193847656e-06
12,0.55,0.0,0.0,0.117149218916893,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,0.0,0.0
13,0.6,0.0,0.0,0.1277911365032196,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
14,0.65,0.0,0.0,0.138433039188385,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
15,0.7,0.0,0.0,0.1490749567747116,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
16,0.75,0.0,0.0,0.1597168743610382,0.0,0.0,0.21283850073814392,0.21283849900472115,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
17,0.8,0.0,0.0,0.170358806848526,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,-8.940696716308594e-06,8.940696716308594e-06
18,0.85,0.0,0.0,0.1810007095336914,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,0.0,0.0
19,0.9,0.0,0.0,0.191642627120018,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
20,0.95,0.0,0.0,0.2022845447063446,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
21,1.0,0.0,0.0,0.21292644739151,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
22,1.05,0.0,0.0,0.2235683649778366,0.0,0.0,0.2128387987613678,0.21283879655375998,0.0,0.0,2.086162567138672e-05,2.086162567138672e-05
23,1.1,0.0,0.0,0.2342103272676468,0.0,0.0,0.2128387987613678,0.21283879655375998,0.0,0.0,-8.940696716308594e-06,8.940696716308594e-06
24,1.15,0.0,0.0,0.2448522448539734,0.0,0.0,0.21283820271492004,0.21283820145526633,0.0,0.0,-1.4901161193847656e-05,1.4901161193847656e-05
25,1.2,0.0,0.0,0.2554941475391388,0.0,0.0,0.2128380537033081,0.21283805268038294,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
26,1.25,0.0,0.0,0.2661360502243042,0.0,0.0,0.2128380537033081,0.21283805268038294,0.0,0.0,0.0,0.0
27,1.3,0.0,0.0,0.2767779529094696,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
28,1.35,0.0,0.0,0.2874198853969574,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
29,1.4,0.0,0.0,0.2980617880821228,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
30,1.45,0.0,0.0,0.3087037205696106,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
31,1.5,0.0,0.0,0.319345623254776,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
32,1.55,0.0,0.0,0.3299875557422638,0.0,0.0,0.21283864974975586,0.21283864777929257,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
33,1.6,0.0,0.0,0.3406294882297516,0.0,0.0,0.2128380537033081,0.21283805268038294,0.0,0.0,-2.384185791015625e-05,2.384185791015625e-05
34,1.65,0.0,0.0,0.3512713611125946,0.0,0.0,0.2128380537033081,0.21283805268038294,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
35,1.7,0.0,0.0,0.3619132936000824,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,0.0,0.0
36,1.75,0.0,0.0,0.3725551962852478,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
37,1.8,0.0,0.0,0.3831971287727356,0.0,0.0,0.21283835172653198,0.21283835023004574,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
38,1.85,0.0,0.0,0.393839031457901,0.023054463788866997,0.0,0.12960463762283325,0.13163916663252043,0.9221785664558411,0.0,-3.3293426036834717,3.45469760901923
39,1.9,0.0023054464254528284,0.0,0.3961575925350189,0.0778067409992218,0.0,-0.06806820631027222,0.10337876998961575,1.729001760482788,0.0,-6.242245674133301,6.477273862859939
40,1.95,0.007780673913657665,0.0,0.3870322108268738,0.1095045953989029,0.0,-0.18250733613967896,0.21283839836304033,0.6339576840400696,0.0,-2.2887766361236572,2.3749528491208527
41,2.0,0.013255905359983444,0.0,0.377906858921051,0.10950423032045364,0.0,-0.18250703811645508,0.2128379564142265,-1.5348196029663086e-05,0.0,5.9604644775390625e-06,1.6464940271770523e-05
42,2.05,0.018731096759438515,0.0,0.36878150701522827,0.10950417816638947,0.0,-0.18250763416290283,0.21283843555671053,6.109476089477539e-06,0.0,-2.384185791015625e-05,2.461218979887767e-05
43,2.1,0.02420632354915142,0.0,0.35965609550476074,0.10950407385826111,0.0,-0.1825067400932312,0.21283762167020723,-1.1473894119262695e-05,0.0,4.76837158203125e-05,4.9044744883548655e-05
44,2.15,0.029681503772735596,0.0,0.35053083300590515,0.10950407385826111,0.0,-0.18250644207000732,0.2128373678770051,9.238719940185547e-06,0.0,-1.7881393432617188e-05,2.0127050882462315e-05
45,2.2,0.0351567305624485,0.0,0.34140545129776,0.10950468480587006,0.0,-0.1825079321861267,0.21283896064312552,1.519918441772461e-05,0.0,-3.5762786865234375e-05,3.885861720818412e-05
46,2.25,0.0406319722533226,0.0,0.3322800397872925,0.10950431227684021,0.0,-0.18250733613967896,0.21283825177615925,-1.7881393432617188e-05,0.0,2.9802322387695312e-05,3.47551816394645e-05
47,2.3,0.04610716179013252,0.0,0.3231547176837921,0.10950416326522827,0.0,-0.1825067400932312,0.21283766761549594,4.470348358154297e-06,0.0,5.9604644775390625e-06,7.450580596923828e-06
48,2.35,0.05158238857984543,0.0,0.31402936577796936,0.10950446128845215,0.0,-0.18250733613967896,0.21283832835140823,4.470348358154297e-06,0.0,-1.7881393432617188e-05,1.8431718463976653e-05
49,2.4,0.05705760791897774,0.0,0.3049039840698242,0.10950475931167603,0.0,-0.1825079321861267,0.21283899783669744,1.341104507446289e-05,0.0,-1.7881393432617188e-05,2.2351741790771484e-05
50,2.45,0.06253286451101303,0.0,0.2957785725593567,0.10950464755296707,0.0,-0.18250733613967896,0.21283842461739644,-1.1920928955078125e-05,0.0,2.9802322387695312e-05,3.209808353861871e-05
51,2.5,0.06800807267427444,0.0,0.2866532504558563,0.10950431227684021,0.0,-0.18250733613967896,0.21283825177615925,-3.725290298461914e-06,0.0,-1.7881393432617188e-05,1.82653228523303e-05
52,2.55,0.07348329573869705,0.0,0.2775278389453888,0.10950446128845215,0.0,-0.18250763416290283,0.21283858214346504,2.9802322387695312e-06,0.0,5.9604644775390625e-06,6.664001874625056e-06
