frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.0,0.0,0.3998222351074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05,0.0,0.0,0.3889777958393097,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,-4.337775707244873,4.337775643244811
3,0.1,0.0,0.0,0.3781333565711975,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
4,0.15,0.0,0.0,0.3672889173030853,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
5,0.2,0.0,0.0,0.35644447803497314,0.0,0.0,-0.21688908338546753,0.21688908686496794,0.0,0.0,-1.1920928955078125e-05,1.1920928955078125e-05
6,0.25,0.0,0.0,0.3456000089645386,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,1.7881393432617188e-05,1.7881393432617188e-05
7,0.3,0.0,0.0,0.3347555994987488,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,-1.1920928955078125e-05,1.1920928955078125e-05
8,0.35,0.0,0.0,0.3239111304283142,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
9,0.4,0.0,0.0,0.3130667209625244,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,-1.1920928955078125e-05,1.1920928955078125e-05
10,0.45,0.0,0.0,0.30222225189208984,0.0,0.0,-0.21688908338546753,0.21688908686496794,0.0,0.0,0.0,0.0
11,0.5,0.0,0.0,0.29137781262397766,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
12,0.55,0.0,0.0,0.2805333733558655,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
13,0.6,0.0,0.0,0.2696889340877533,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
14,0.65,0.0,0.0,0.2588444948196411,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
15,0.7,0.0,0.0,0.24800005555152893,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
16,0.75,0.0,0.0,0.23715560138225555,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,8.940696716308594e-06,8.940696716308594e-06
17,0.8,0.0,0.0,0.22631117701530457,0.0,0.0,-0.2168886363506317,0.2168886402881075,0.0,0.0,0.0,0.0
18,0.85,0.0,0.0,0.21546673774719238,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,-8.940696716308594e-06,8.940696716308594e-06
19,0.9,0.0,0.0,0.204622283577919,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
20,0.95,0.0,0.0,0.19377784430980682,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
21,1.0,0.0,0.0,0.18293340504169464,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
22,1.05,0.0,0.0,0.17208896577358246,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
23,1.1,0.0,0.0,0.16124452650547028,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,0.0,0.0
24,1.15,0.0,0.0,0.1504000872373581,0.0,0.0,-0.21688848733901978,0.21688848570359542,0.0,0.0,1.1920928955078125e-05,1.1920928955078125e-05
25,1.2,0.0,0.0,0.1395556777715683,0.0,0.0,-0.21688833832740784,0.21688833970701063,0.0,0.0,0.0,0.0
26,1.25,0.0,0.0,0.1287112534046173,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,-2.086162567138672e-05,2.086162567138672e-05
27,1.3,0.0,0.0,0.11786678433418274,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,8.940696716308594e-06,8.940696716308594e-06
28,1.35,0.0,0.0,0.10702235996723175,0.0,0.0,-0.2168886363506317,0.2168886402881075,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
29,1.4,0.0,0.0,0.09617792069911957,0.0,0.0,-0.2168889343738556,0.21688893228077416,0.0,0.0,-8.940696716308594e-06,8.940696716308594e-06
30,1.45,0.0,0.0,0.08533346652984619,0.0,0.0,-0.21688900887966156,0.21688900957288482,0.0,0.0,0.0,0.0
31,1.5,0.0,0.0,0.07448901981115341,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,7.450580596923828e-06,7.450580596923828e-06
32,1.55,0.0,0.0,0.06364458799362183,0.0,0.0,-0.21688826382160187,0.21688826241466125,0.0,0.0,1.7881393432617188e-05,1.7881393432617188e-05
33,1.6,0.0,0.0,0.052800193428993225,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,-2.8312206268310547e-05,2.8312206268310547e-05
34,1.65,0.0,0.0,0.04195570945739746,0.0,0.0,-0.21688953042030334,0.2168895334409089,0.0,0.0,-1.1920928955078125e-05,1.1920928955078125e-05
35,1.7,0.0,0.0,0.03111124038696289,0.0,0.0,-0.21688878536224365,0.21688878628449,0.0,0.0,2.682209014892578e-05,2.682209014892578e-05
36,1.75,0.0,0.0,0.020266830921173096,0.0,0.0,-0.2168889045715332,0.21688890651673115,0.0,0.0,-1.6689300537109375e-05,1.6689300537109375e-05
37,1.8,0.0,0.0,0.009422349743545055,0.014221091754734516,0.0,-0.20266830921173096,0.2031666386391037,0.5688436627388,0.0,0.5688381195068359,0.8044625125162044
38,1.85,0.001422109198756516,0.0,0.0,0.12266572564840317,0.0,-0.0942234992980957,0.15467691698381597,4.05336332321167,0.0,4.053366184234619,5.7323233860789715
39,1.9,0.012266572564840317,0.0,0.0,0.21688894927501678,0.0,0.0,0.21688894945680115,1.8844581842422485,0.0,1.884469985961914,2.6650346788794566
40,1.95,0.023111004382371902,0.0,0.0,0.21688911318778992,0.0,0.0,0.21688911262898955,1.3113021850585938e-05,0.0,0.0,1.3113021850585938e-05
41,2.0,0.03395548462867737,0.0,0.0,0.21688920259475708,0.0,0.0,0.2168891985090394,-6.556510925292969e-06,0.0,0.0,6.556510925292969e-06
42,2.05,0.04479992389678955,0.0,0.0,0.21688900887966156,0.0,0.0,0.21688900957288482,5.960464477539062e-07,0.0,0.0,5.960464477539062e-07
43,2.1,0.055644385516643524,0.0,0.0,0.21688923239707947,0.0,0.0,0.2168892328610498,4.470348358154297e-06,0.0,0.0,4.470348358154297e-06
44,2.15,0.0664888471364975,0.0,0.0,0.2168889343738556,0.0,0.0,0.21688893228077416,-1.1920928955078125e-05,0.0,0.0,1.1920928955078125e-05
